nsp,ncomm,nmeas,model,likelihood,npars,pval_rnd,pval_scramble,corr,alpha,nrnd,nscr,label
8,53,184,4,-690.9012610309978,30,0.214,0.215,0.8710527971054212,2.751514413900643,1000,1000,Wag 04
8,53,197,1,-816.253751081857,16,0.06,0.049,0.7658049925339316,1.9649129013094149,1000,1000,Wag 05
8,53,197,2,-807.9280206607251,23,0.125,0.071,0.7857386679085273,2.200222429688999,1000,1000,Wag 05
8,53,197,3,-804.6018316902217,23,0.028,0.02,0.8023581097516548,2.299913786818904,1000,1000,Wag 05
8,53,197,4,-792.8377429516972,30,0.38,0.387,0.820352498311163,2.680510185761379,1000,1000,Wag 05
8,54,197,1,-746.0026715032888,16,0.106,0.104,0.7210962292409593,1.7063529425709083,1000,1000,Wag 06
8,54,197,2,-740.8464423621226,23,0.239,0.243,0.7408277968611658,1.8373899386236514,1000,1000,Wag 06
8,54,197,3,-720.4417977994237,23,0.028,0.028,0.7895146456399003,2.420893390279781,1000,1000,Wag 06
8,54,197,4,-714.0229137566121,30,0.166,0.166,0.8025310131288415,2.6311803456940206,1000,1000,Wag 06
8,55,206,1,-808.1221629992684,16,0.023,0.032,0.7692249964003708,1.7165662224119655,1000,1000,Wag 07
8,55,206,2,-799.9681096442418,23,0.148,0.152,0.78750212123411,1.916249709704483,1000,1000,Wag 07
8,55,206,3,-791.224181660935,23,0.036,0.075,0.8065872548763563,2.1486166078815745,1000,1000,Wag 07
8,55,206,4,-786.1484074788381,30,0.08,0.077,0.809418955456445,2.2925828070990355,1000,1000,Wag 07
8,54,210,1,-803.7849421191776,16,0.278,0.282,0.7803965528470745,1.595936317541131,1000,1000,Wag 08
8,54,210,2,-792.9133471881779,23,0.986,0.961,0.7966768406228505,1.84745119486957,1000,1000,Wag 08
8,54,210,3,-794.1664859074142,23,0.236,0.271,0.7988595927887308,1.8171445774969088,1000,1000,Wag 08
8,54,210,4,-779.2352959524585,30,1,1,0.8224882181755955,2.2023565545117973,1000,1000,Wag 08
