Achillea millefolium,Andropogon gerardi,Bouteloua gracilis,Koeleria cristata,Liatris aspera,Lupinus perennis,Petalostemum villosum,Poa pratensis,Schizachyrium scoparium,Sporobolus cryptandrus,Amorpha canescens,Lespedeza capitata,Panicum virgatum,Polygonum tenue,Erigeron canadensis,Monarda fistulosa,Polygonum convolvulus,Silene antirrhina,Sorghastrum nutans,Chenopodium leptophyllum,Crepis tectorum,Elymus canadensis,Taraxicum officinalis,Solidago nemoralis,Asclepias tuberosa,Aristida basiramea,Hedeoma hispida,Leptoloma cognatum,Physalis virginiana,Agropyron repens,Lepidium densiflorum,Ambrosia artemisiifolia elatior,Bouteloua curtipendula,Agrostis scabra,Euphorbia glyptosperma,Rumex acetosella,Panicum oligosanthes,Eragrostis spectabilis,Linaria vulgaris,Mollugo verticillata,Cyperus filiculmis,Cyperus schweinitzii
5.6,27.883,0.55,0.083,6.233,77,0,6,31.933,0,3.767,121.467,18.917,0.167,0,5.1,0,0,11.317,0.1,0,0,0,0.433,0.067,0,0,0,0,0,0.067,0,0,0,0,0,0,0,0,0,0.5,0
14.283,54.367,0.027,1.517,2.317,102.45,0,13.267,16.95,0,11.183,0.333,0,0,0,0.15,0.317,0,82.917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467
0,0,0,54.667,0,0,0,0,1.167,1.367,0,0,101.4,0,0,0,0,0,0.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383,0,0,0,0.1,0
0,0,0,0,0,0,0,0,68.917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0
0,33.467,0,0.05,14.767,0,50.45,0.133,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283,0,0,0,0,0,0,0,0,0,0,0.167
21.417,6.167,0,3.95,0,102.067,0,6.8,44.133,0,37.567,16.283,11.9,0,0,0,0,0,4.867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083,0.01,0,0,0,0,0.333
0,33.717,0,0.217,13.367,84.667,44.017,5.683,29.717,0,0,23.683,3.4,0.033,0,0,0.05,0,22.817,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.717
14.55,119.4,1.683,0.967,7.3,50.183,0.217,0.383,24,0,1.833,0,1.4,0.6,0,0.917,0.217,0,0,0,0,0,0,0,0.183,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0.333
0,0,1.333,95.767,0,0,0,0.7,0,0,0,197,1.567,0,0.167,0,0,0,0,0,0,0,0,0,0,0,0,0.933,0,0,0,0,0,0,0,0,0.583,0,0,0,0.383,0.683
15.4,0,0,26.133,0,0,199.734,33.317,6.783,2.4,0,26.783,0,0,0,0,0,0,0,0,0,1.983,0,0,0,0,0,0,0,0,0,0,3.367,0.367,0,0,0,0,0,0,0,1.017
34.333,2.4,0,18.367,0,0,144.333,3.15,78.167,0,0,99.433,0,0,0,3.683,0,0,0.517,0,0,0,0,13.817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55
0,73.383,0.3,0.383,0,0.483,0,1.017,0.667,0,0,0,0,0,0,0.7,0.2,0,31.017,0,0,0,0,9.267,0,0,0,0,0,0,0,0,0,1.117,0,0,0,0,0,0,0,0
0,72,0,0,0,0,0,0,3.117,0.65,0,0,7.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.417,0,162.483,10.233,47.933,3.583,0,0,0,0,0,0,23.067,0.018,0,168.733,0,0,0,0,148.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.733,0,0.083,0,1.65,105.167,2.55,4.067,37.883,0,0,16.183,4.133,0,0,36.167,0.133,0,142.5,0,0,0,0,26.283,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0,0,0,0,0.117
0,0,0,0,0,0,0,0,19.133,0,0,0,4.417,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,151.883,0,0,0,197.45,0,2.133,97.15,0.983,0,0,0,0,0,0,0.083,0,5.317,0,0,0,0,6.383,0.9,0,0,0,0,0.267,0,0,0,0,0,0,0.033,0,0,0,0,0
4.983,0,0,20.183,0,1.017,62.6,0,2.517,0,0,0,0,0,0,0,0,0,47.667,0,0,0,0,0,2.967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,82.217,0,0.783,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.05,0,0,1.217,0,0,0,0,0,0,0,0
3.917,0.367,0,0,4.167,0,1.083,0,45.117,0.35,0,193.317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.533,0,0,0,0,0,0,0,0.2
2.517,95,0.033,0,0,155.95,0,0,49.5,0,5.85,42.267,8.617,0,0,0,0,0,12.967,0,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.467,0,0,0,0,0,0,0.1,0.767,0,0,0,0,0.217,0,0,0,51.667,0,0.03,0,0,0.083,0,0,0,0,0,0,0.133,0,0,0.1,0,0,0,0,0,0,0,0.95
5.783,52.367,0,0.133,0,150.917,40.9,22.567,40.15,0,14.883,0,0.383,0,0,0,0,0,70.817,0,0,0,0,0,0.083,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0
0,2.983,0,0,0,0,0,0,0.133,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
0.433,0,1.15,6.4,0,83.967,72.583,33.2,7.417,0,0,0,0,0,0,0,0.117,0,14.167,0,0,0,0.117,0,0,0,0,0,0,0,0,0,2.05,0,0.267,0.2,0,0,0,0,0,0
7.633,195.85,0.133,0,0,131.8,0,23.333,7.167,0,0,0,3.917,0,0,0,0.25,0,0.283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35
7.467,22.65,0,0,1.6,75.917,13.733,7.2,16.5,1.1,18.8,35.967,11.2,0,0,1.3,0.1,0,68.983,0,0,0,0,14.983,0,0,0,0,0,0.033,0,0,0,0,0,0.6,0,0,0,0,0,1.05
